Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
"Genexine Consortium (GenNBio, International Vaccine Institute, Korea Advanced Institute of Science and Technology (KAIST), Pohang University of Science and Technology (POSTECH)/ Binex/ PT Kalbe Pharma",Vaccine,DNA-based,Phase I,Phase I to start in July 2020,DNA vaccine (GX-19),NCT04445389,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/24/2020
Inovio Pharmaceuticals/Beijing Advaccine Biotechnology/VGXI Inc./ Richter-Helm BioLogics/Ology Bioservices,Vaccine,DNA-based,Phase I,"Phase I/IIa trial began July 2020; Phase I initial data released June 30, 2020",DNA plasmid vaccine with electroporation; INO-4800,"NCT04336410, NCT04447781",Coalition for Epidemic Preparedness (CEPI) / Gates Foundation / US Department of Defense,Inovio (http://ir.inovio.com/news-releases/news-releases-details/2020/INOVIO-Announces-Positive-Interim-Phase-1-Data-For-INO-4800-Vaccine-for-COVID-19/default.aspx),Same platform as multiple vaccine candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/17/2020
Zydus Cadila Healthcare Limited ,Vaccine,DNA-based,Phase I,Phase I/II began in July 2020 ,DNA plasmid (ZyCoV-D),CTRI/2020/07/026352,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/16/2020
BioNet Asia,Vaccine,DNA-based,Pre-clinical,Unknown,DNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/20/2020
Chula Vaccine Research Center,Vaccine,DNA-based,Pre-clinical,Unknown,DNA with electroporation,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/18/2020
Ege University,Vaccine,DNA-based,Pre-clinical,Unknown,DNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Entos Pharmaceuticals/ Cytiva,Vaccine,DNA-based,Pre-clinical,Phase I/II to start in late July 2020 ,DNA; Covigenix,,Canadian Institutes of Health Research (CIHR)/ Research Nova Scotia (RNS)/ Institute for Ageing (IA),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/1/2020
Immunomic Therapeutics / EpiVax / PharmaJet,Vaccine,DNA-based,Pre-clinical,Unknown,"DNA plasmid, needle-free delivery",,Unknown,,Same platform as vaccine candidates for SARS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Mediphage Bioceuticals/ University of Waterloo,Vaccine,DNA-based,Pre-clinical,Unknown,msDNA vaccine,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
"National
  Research Centre, Egypt",Vaccine,DNA-based,Pre-clinical,Unknown,"DNA plasmid vaccine S, S1, S2, RBD & N",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
OPENCORONA - Cobra Biologics / Karolinska Institute,Vaccine,DNA-based,Pre-clinical,Phase I to start in 2020,DNA with electroporation,,European Commission (Horizon 2020 Program),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
Osaka University/ AnGes/ Takara Bio/ Cytiva,Vaccine,DNA-based,Pre-clinical,Phase I to start in July 2020,"DNA plasmid, vaccine + adjuvant",NCT04463472,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/15/2020
Scancell/ University of Nottingham/ Nottingham Trent University,Vaccine,DNA-based,Pre-clinical,Phase I to start in Q1 2021,DNA plasmid vaccine RBD&N,,Unknown,,Same platform as vaccine candidates for cancer,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
"Statens Serum Institute, Denmark",Vaccine,DNA-based,Pre-clinical,Phase I is expected to start in late 2020 or early 2021,"DNA plasmid, CoVAXIX",,"Statens Serum Institute, Denmark",,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/14/2020
