Platform,Type of,Developer,Coronavirus,Current stage of clinical,Same platform for
"",candidate,,target,evaluation/regulatory status-,non-Coronavirus
"",vaccine,,,Coronavirus candidate,candidates
Non-,ChAdOx1-S,University of,SARS-CoV2,Phase 3,"MERS, influenza,"
Replicating,,Oxford/AstraZeneca,,ISRCTN89951424,"TB, Chikungunya,"
Viral Vector,,,,Phase2b/3,"Zika, MenB, plague"
"",,,,2020-001228-32,
"",,,,Phase 1/2,
"",,,,PACTR202006922165132,
"",,,,2020-001072-15,
Non-,Adenovirus Type,CanSino Biological,SARS-CoV2,Phase 2,Ebola
Replicating,5 Vector,Inc./Beijing Institute of,,ChiCTR2000031781,
Viral Vector,,Biotechnology,,Phase 1,
"",,,,ChiCTR2000030906,
RNA,LNP-,Moderna/NIAID,SARS-CoV2,Phase 2,multiple candidates
"",encapsulated,,,NCT04405076,
"",mRNA,,,Phase 1,
"",,,,NCT04283461,
DNA,DNA plasmid,Inovio Pharmaceuticals/,SARS-CoV2,Phase 1/2,multiple candidates
"",vaccine with,International Vaccine,,NCT04447781,
"",electroporation,Institute,,NCT04336410,
"",,,,,
"",,,,,
Inactivated,Inactivated,Wuhan Institute of,SARS-CoV2,Phase 1/2,
"",,Biological,,ChiCTR2000031809,
"",,Products/Sinopharm,,,
Inactivated,Inactivated,Beijing Institute of,SARS-CoV2,Phase 1/2,
"",,Biological,,ChiCTR2000032459,
"",,Products/Sinopharm,,,
Inactivated,Inactivated +,Sinovac,SARS-CoV2,Phase 1/2,SARS
"",alum,,,NCT04383574,
"",,,,NCT04352608,
Protein,Full length,Novavax,SARS-CoV2,Phase 1/2,"RSV; CCHF, HPV,"
Subunit,recombinant,,,NCT04368988,"VZV, EBOV"
"",SARS CoV-2,,,,
"",glycoprotein,,,,
"",nanoparticle,,,,
"",vaccine,,,,
"",adjuvanted with,,,,
"",Matrix M,,,,
RNA,3 LNP-mRNAs,BioNTech/Fosun,SARS-CoV2,Phase 1/2,
"",,Pharma/Pfizer,,2020-001038-36,
"",,,,NCT04368728,
Inactivated,Inactivated,Institute of Medical Biology,SARS-CoV2,Phase 1,
"",,", Chinese Academy of",,NCT04412538,
"",,Medical Sciences,,,
DNA,DNA Vaccine,Genexine Consortium,SARS-CoV2,Phase 1,
"",(GX-19),,,NCT04445389,
Non-,Adeno-based,Gamaleya Research,SARS-CoV2,Phase 1,
Replicating,,Institute,,NCT04436471,
Viral Vector,,,,NCT04437875,
Protein,Native like,Clover Biopharmaceuticals,SARS-CoV2,Phase 1,"HIV, REV Influenza"
Subunit,Trimeric subunit,Inc./GSK/Dynavax,,NCT04405908,
"",Spike Protein,,,,
"",vaccine,,,,
"ProteinSubunit","Adjuvantedrecombinantprotein  (RBD-Dimer)","Anhui Zhifei LongcomBiopharmaceutical/Institute of Microbiology,Chinese Academy ofSciences",SARS-CoV2,"Phase 1NCT04445194",MERS
"ProteinSubunit","Recombinantspike proteinwith AdvaxTMadjuvant",Vaxine Pty Ltd/Medytox,SARS-CoV2,"Phase 1NCT04453852",
RNA,LNP-nCoVsaRNA,Imperial College London,SARS-CoV2,"Phase 1ISRCTN17072692","EBOV; LASV, MARV,Inf (H7N9), RABV"
RNA,mRNA,Curevac,SARS-CoV2,"Phase 1NCT04449276","RABV, LASV, YFV;MERS, InfA, ZIKV,DENV, NIPV"
RNA,mRNA,"People's Liberation Army(PLA) Academy of MilitarySciences/Walvax Biotech.",SARS-CoV2,"Phase 1ChiCTR2000034112",
Platform,"Type of candidatevaccine",Developer,"Coronavirustarget","Current stage of clinicalevaluation/regulatorystatus- Coronaviruscandidate","Same platformfor non-Coronaviruscandidates"
DNA,"DNA plasmid vaccineS,S1,S2,RBD &N","National Research Centre, Egypt",SARS-CoV2,Pre-Clinical,
DNA,"DNA withelectroporation","Karolinska Institute / CobraBiologics(OPENCORONA Project)",SARS-CoV2,Pre-Clinical,
DNA,"DNA withelectroporation",Chula Vaccine Research Center,SARS-CoV2,Pre-Clinical,
DNA,DNA plasmid vaccine,"Osaka University/ AnGes/ TakaraBio",SARS-CoV2,Pre-Clinical,
